Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Number of Web Hits	Number of Citations
Newspaper and magazine images segmentation dataset			Classification	101			Computer	2014-07-15	28723	0
AAAI 2014 Accepted Papers	Multivariate		Clustering	399	6		Computer	2014-07-30	55712	0
Gas sensor array under flow modulation	Multivariate, Time-Series	Real	Classification, Regression	58	120432		Computer	2014-09-10	39945	0
Gas sensor array exposed to turbulent gas mixtures	Multivariate, Time-Series	Real	Classification, Regression	180	150000		Computer	2014-10-10	42822	0
UJIIndoorLoc	Multivariate	Integer, Real	Classification, Regression	21048	529		Computer	2014-09-18	101911	0
Sentence Classification	Text	Integer	Classification					2014-11-05	77900	0
Dow Jones Index	Time-Series	Integer, Real	Classification, Clustering	750	16		Business	2014-10-23	223361	0
sEMG for Basic Hand movements	Time-Series	Real	Classification	3000	2500		Life	2014-11-18	70781	0
AAAI 2013 Accepted Papers	Multivariate		Clustering	150	5		Computer	2014-07-30	58209	0
Geographical Original of Music	Multivariate	Real	Classification, Regression	1059	68			2014-10-18	89972	0
Condition Based Maintenance of Naval Propulsion Plants	Multivariate	Real	Regression	11934	16		Computer	2014-09-11	62542	0
Grammatical Facial Expressions	Multivariate, Sequential	Real	Classification, Clustering	27965	100		Computer	2014-10-06	74103	0
NoisyOffice	Multivariate	Real	Classification, Regression	216	216		Computer	2015-01-03	69372	0
MHEALTH Dataset	Multivariate, Time-Series	Real	Classification	120	23		Computer	2014-12-07	105812	0
Student Performance	Multivariate	Integer	Classification, Regression	649	33		Social	2014-11-27	811750	0
ElectricityLoadDiagrams20112014	Time-Series	Real	Regression, Clustering	370	140256		Computer	2015-03-13	80649	0
Gas sensor array under dynamic gas mixtures	Multivariate, Time-Series	Real	Classification, Regression	4178504	19		Computer	2015-03-20	55217	0
microblogPCU	Multivariate, Univariate, Sequential, Text	Integer, Real	Classification, Causal-Discovery	221579	20	Yes	Computer	2015-03-17	51664	0
Firm-Teacher_Clave-Direction_Classification	Multivariate		Classification	10800	20			2015-04-24	29991	0
Dataset for Sensorless Drive Diagnosis	Multivariate	Real	Classification	58509	49		Computer	2015-02-24	75829	0
TV News Channel Commercial Detection Dataset	Multivariate	Real	Classification, Clustering	129685	12		Computer	2015-03-27	75340	0
Phishing Websites		Integer	Classification	2456	30		Computer Security	2015-03-26	155318	0
Greenhouse Gas Observing Network	Multivariate, Time-Series	Real	Regression	2921	5232		Physical	2015-04-16	59836	0
Diabetic Retinopathy Debrecen Data Set	Multivariate	Integer, Real	Classification	1151	20		Life	2014-11-03	112545	0
HIV-1 protease cleavage	Multivariate	Categorical	Classification	6590	1		Life	2015-04-25	63129	0
Sentiment Labelled Sentences	Text		Classification	3000				2015-05-30	183858	0
Online News Popularity	Multivariate	Integer, Real	Classification, Regression	39797	61		Business	2015-05-31	308470	0
Forest type mapping	Multivariate		Classification	326	27		Life	2015-05-25	61339	0
wiki4HE	Multivariate		Regression, Clustering, Causal-Discovery	913	53	Yes	Social	2015-05-04	49924	0
Online Video Characteristics and Transcoding Time Dataset	Multivariate	Integer, Real	Regression	168286	11		Computer	2015-05-19	44705	0
Chronic_Kidney_Disease	Multivariate	Real	Classification	400	25	Yes		2015-07-03	180997	0
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014	Sequential, Time-Series	Real	Classification	314080		Yes	Business	2015-06-06	53550	0
Folio	Multivariate		Classification, Clustering	637	20	Yes		2015-07-05	60610	0
Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015	Multivariate, Sequential, Time-Series, Domain-Theory	Real	Clustering, Causal-Discovery	1710671	9	Yes	Computer	2015-07-11	84392	0
Cuff-Less Blood Pressure Estimation	Multivariate	Real	Classification, Regression	12000	3	Yes	Life	2015-07-27	119493	0
Smartphone-Based Recognition of Human Activities and Postural Transitions	Multivariate, Time-Series	Real	Classification	10929	561		Life	2015-07-29	180945	0
Mice Protein Expression	Multivariate	Real	Classification, Clustering	1080	82	Yes	Life	2015-08-04	82671	0
UJIIndoorLoc-Mag	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Regression, Clustering	40000	13		Computer	2015-09-10	44389	0
Heterogeneity Activity Recognition	Multivariate, Time-Series	Real	Classification, Clustering	43930257	16	Yes	Computer	2015-10-26	105898	0
Educational Process Mining (EPM): A Learning Analytics Data Set	Multivariate, Sequential, Time-Series	Integer	Classification, Regression, Clustering	230318	13		Computer	2015-09-24	103688	0
HEPMASS	Multivariate	Real	Classification	10500000	28		Physical	2016-01-28	66895	0
Indoor User Movement Prediction from RSS data	Multivariate, Sequential, Time-Series	Real	Classification	13197	4		Computer	2016-02-04	65574	0
Open University Learning Analytics dataset	Multivariate, Sequential, Time-Series	Integer	Classification, Regression, Clustering			Yes	Computer	2015-12-21	65594	0
default of credit card clients	Multivariate	Integer, Real	Classification	30000	24		Business	2016-01-26	519437	0
Mesothelioma’s disease data set 	Multivariate	Real	Classification	324	34		Computer	2016-01-11	16289	0
Online Retail	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Clustering	541909	8		Business	2015-11-06	528065	0
SIFT10M	Multivariate	Integer	Causal-Discovery	11164866	128		Computer	2016-02-23	33150	0
GPS Trajectories	Multivariate	Real	Classification, Regression	163	15	Yes	Computer	2016-02-29	112295	0
Detect Malacious Executable(AntiVirus)	Multivariate	Real	Classification	373	513	Yes	Computer	2016-03-03	258573	0
Occupancy Detection 	Multivariate, Time-Series	Real	Classification	20560	7		Computer	2016-02-29	148584	0
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease	Multivariate	Real	Classification, Regression, Clustering	40	7		Computer	2016-03-05	11189	0
News Aggregator	Multivariate		Classification, Clustering	422937	5			2016-02-28	92553	0
Air Quality	Multivariate, Time-Series	Real	Regression	9358	15	Yes	Computer	2016-03-23	474306	0
Twin gas sensor arrays	Multivariate, Time-Series, Domain-Theory	Real	Classification, Regression	640	480000		Computer	2016-05-19	49183	0
Gas sensors for home activity monitoring	Multivariate, Time-Series	Real	Classification	919438	11		Computer	2016-07-15	85065	0
Facebook Comment Volume Dataset	Multivariate	Integer, Real	Regression	40949	54			2016-03-11	99039	0
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL)	Time-Series	Real	Classification	5744	561		Computer	2016-03-09	50891	0
Polish companies bankruptcy data	Multivariate	Real	Classification	10503	64	Yes	Business	2016-04-11	112404	0
Activity Recognition system based on Multisensor data fusion (AReM)	Multivariate, Sequential, Time-Series	Real	Classification	42240	6		Computer	2016-05-18	65979	0
Dota2 Games Results	Multivariate		Classification	102944	116		Game	2016-08-14	105015	0
Facebook metrics	Multivariate	Integer	Regression	500	19		Business	2016-08-05	173388	0
UbiqLog (smartphone lifelogging)	Multivariate		Causal-Discovery	9782222			Computer	2016-06-16	31564	0
NIPS Conference Papers 1987-2015	Text	Integer	Clustering	11463	5812		Computer	2016-11-23	51905	0
HTRU2	Multivariate	Real	Classification, Clustering	17898	9		Physical	2017-02-14	66861	0
Drug consumption (quantified)	Multivariate	Real	Classification	1885	32		Social	2016-10-17	137126	0
Appliances energy prediction	Multivariate, Time-Series	Real	Regression	19735	29		Computer	2017-02-15	134056	0
Miskolc IIS Hybrid IPS	Text	Integer	Classification, Clustering, Causal-Discovery	1540	67	Yes	Computer	2016-07-04	14099	0
KDC-4007 dataset Collection	Multivariate, Text	Integer	Classification, Regression	4007			Computer	2017-04-27	32255	0
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Regression, Clustering	153540	25		Computer	2017-01-10	33585	0
DrivFace	Multivariate	Real	Classification, Regression, Clustering	606	6400		Computer	2016-05-26	38243	0
Website Phishing	Multivariate	Integer	Classification	1353	10		Computer	2016-11-02	89147	0
YouTube Spam Collection	Text		Classification	1956	5		Computer	2017-03-26	86839	0
Beijing PM2.5 Data	Multivariate, Time-Series	Integer, Real	Regression	43824	13	Yes	Physical	2017-01-19	187416	0
Cargo 2000 Freight Tracking and Tracing	Multivariate, Sequential	Integer	Classification, Regression	3942	98	Yes	Business	2016-11-03	46015	0
Cervical cancer (Risk Factors)	Multivariate	Integer, Real	Classification	858	36	Yes	Life	2017-03-03	130323	0
Quality Assessment of Digital Colposcopies	Multivariate	Real	Classification	287	69		Life	2017-03-08	20712	0
KASANDR	Multivariate	Integer	Causal-Discovery	17764280	2158859		Life	2017-05-16	35473	0
FMA: A Dataset For Music Analysis	Multivariate, Time-Series	Real	Classification, Clustering	106574	518		Computer	2017-05-24	88970	0
Air quality	Multivariate, Time-Series	Real	Regression	9358	15	Yes	Computer	2016-03-23	474307	0
Epileptic Seizure Recognition	Multivariate, Time-Series	Integer, Real	Classification, Clustering	11500	179		Life	2017-05-24	119926	0
Devanagari Handwritten Character Dataset		Integer	Classification	92000			Computer	2016-09-01	30351	0
Stock portfolio performance	Multivariate	Real	Regression	315	12		Business	2016-04-22	70187	0
MoCap Hand Postures	Multivariate	Integer, Real	Classification, Clustering	78095	38	Yes	Computer	2016-11-22	22887	0
Early biomarkers of Parkinson's disease based on natural connected speech	Multivariate	Integer, Real	Classification, Regression	130	65	Yes	Life	2017-02-15	3558	0
Data for Software Engineering Teamwork Assessment in Education Setting	Sequential, Time-Series	Integer, Real	Classification	74	102	Yes	Computer	2017-06-29	36406	0
PM2.5 Data of Five Chinese Cities	Multivariate, Time-Series	Integer, Real	Regression	52854	86	Yes	Physical	2017-07-18	87245	0
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet	Multivariate	Integer	Classification, Regression, Clustering	77	7		Computer	2017-07-20	47997	0
Sales_Transactions_Dataset_Weekly	Multivariate, Time-Series	Integer, Real	Clustering	811	53			2017-07-16	75114	0
Las Vegas Strip		Integer	Classification, Regression	504	20		Business	2017-07-23	98215	0
Eco-hotel	Text			401	1		Business	2017-07-23	39346	0
MEU-Mobile KSD	Multivariate	Integer, Real	Classification	2856	71		Computer	2016-05-14	13565	0
Crowdsourced Mapping	Multivariate		Classification	10546	29		Physical	2016-05-25	24167	0
gene expression cancer RNA-Seq	Multivariate	Real	Classification, Clustering	801	20531		Life	2016-06-09	65037	0
Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer	Multivariate, Sequential, Time-Series	Real	Classification	1540	65	Yes	Computer	2016-12-18	15852	0
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network	Text	Integer	Classification	1075	22		Computer	2017-08-28	31468	0
Motion Capture Hand Postures	Multivariate	Real	Classification, Clustering	78095	38	Yes	Computer	2017-01-27	31567	0
Anuran Calls (MFCCs)	Multivariate	Real	Classification, Clustering	7195	22		Life	2017-02-24	50763	0
TTC-3600: Benchmark dataset for Turkish text categorization	Text	Integer	Classification, Clustering	3600	4814		Computer	2017-02-08	15609	0
Gastrointestinal Lesions in Regular Colonoscopy	Multivariate	Real	Classification	76	698		Computer	2016-10-15	18993	0
Daily Demand Forecasting Orders	Time-Series	Integer	Regression	60	13		Business	2017-11-21	84652	0
Paper Reviews	Text	Integer	Classification, Regression	405	10	Yes	Computer	2017-10-23	55016	0
extention of Z-Alizadeh sani dataset		Integer, Real	Classification	303	59		Life	2017-11-17	12500	0
Z-Alizadeh Sani		Integer, Real	Classification	303	56		Life	2017-11-17	23734	0
Dynamic Features of VirusShare Executables	Multivariate, Time-Series	Integer	Classification, Regression	107888	482		Computer	2017-11-29	31908	0
IDA2016Challenge	Multivariate	Integer	Classification	76000	171	Yes	Computer	2017-01-17	18173	0
DSRC Vehicle Communications	Sequential, Text	Real	Clustering	10000	5		Computer	2017-12-13	31997	0
Mturk User-Perceived Clusters over Images	Multivariate, Text	Integer	Clustering	180	500		Computer	2016-11-02	9485	0
Character Font Images	Multivariate	Integer, Real	Classification	745000	411		Computer	2016-08-14	36123	0
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels	Text	Integer	Classification	12234	8519		Computer	2016-10-27	19420	0
Autistic Spectrum Disorder Screening Data for Children  	Multivariate	Integer	Classification	292	21	Yes	Life	2017-12-24	47270	0
Autistic Spectrum Disorder Screening Data for Adolescent   	Multivariate	Integer	Classification	104	21	Yes	Life	2017-12-24	32527	0
APS Failure at Scania Trucks	Multivariate	Integer, Real	Classification	60000	171	Yes	Computer	2017-12-08	60102	0
Wireless Indoor Localization	Multivariate	Real	Classification	2000	7		Computer	2017-12-04	48587	0
HCC Survival	Multivariate	Integer, Real	Classification	165	49	Yes	Life	2017-11-29	36102	0
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015	Multivariate	Integer	Classification, Regression	217	12	Yes	Computer	2017-10-11	32891	0
University of Tehran Question Dataset 2016 (UTQD.2016)	Text		Classification	1175	3	Yes		2017-09-27	13417	0
Autism Screening Adult		Integer	Classification	704	21	Yes	Social	2017-12-24	64515	0
Activity recognition with healthy older people using a batteryless wearable sensor	Sequential	Real	Classification	75128	9		Life	2016-12-12	37377	0
Immunotherapy Dataset	Univariate	Integer, Real	Classification	90	8		Life	2018-01-04	53314	0
Cryotherapy Dataset 	Univariate	Integer, Real	Classification	90	7		Life	2018-01-04	45899	0
OCT data & Color Fundus Images of Left & Right Eyes	Multivariate	Real	Classification	50	2		Computer	2016-11-01	17078	0
Discrete Tone Image Dataset	Multivariate		Classification	71	11		Computer	2018-01-20	20874	0
News Popularity in Multiple Social Media Platforms	Multivariate, Time-Series, Text	Integer, Real	Regression	93239	11		Computer	2018-02-20	61120	0
Ultrasonic flowmeter diagnostics	Multivariate	Real	Classification	540	173		Computer	2018-01-13	18266	0
ICMLA 2014 Accepted Papers Data Set	Multivariate		Classification, Clustering	105	5			2018-02-19	16286	0
BLE RSSI Dataset for Indoor localization and Navigation	Multivariate, Sequential, Time-Series	Integer	Classification, Clustering	6611	15	Yes	Computer	2018-01-25	32604	0
Container Crane Controller Data Set	Univariate, Domain-Theory	Real	Classification, Regression	15	3		Computer	2018-01-01	33053	0
Residential Building Data Set	Multivariate	Real	Regression	372	105		Computer	2018-02-19	50024	0
Health News in Twitter	Text	Real	Clustering	58000	25000		Computer	2018-02-19	52525	0
chipseq	Sequential	Integer	Classification	4960			Life	2018-02-21	22217	0
SGEMM GPU kernel performance	Multivariate	Integer	Regression	241600	18		Computer	2018-02-27	27563	0
Repeat Consumption Matrices	Multivariate	Real	Clustering	130000	21000		Computer	2018-03-22	22296	0
detection_of_IoT_botnet_attacks_N_BaIoT	Multivariate, Sequential	Real	Classification, Clustering	7062606	115		Computer	2018-03-19	71745	0
Absenteeism at work	Multivariate, Time-Series	Integer, Real	Classification, Clustering	740	21		Business	2018-04-05	189132	0
SCADI	Multivariate		Classification, Clustering	70	206		Life	2018-04-14	31023	0
Condition monitoring of hydraulic systems	Multivariate, Time-Series	Real	Classification, Regression	2205	43680		Computer	2018-04-26	56608	0
Carbon Nanotubes	Univariate	Real	Regression	10721	8		Computer	2018-04-05	41034	0
Optical Interconnection Network 	Multivariate	Integer, Real	Classification, Regression	640	10		Computer	2018-03-29	27658	0
Sports articles for objectivity analysis	Multivariate, Text	Integer	Classification	1000	59		Social	2018-04-09	36981	0
Breast Cancer Coimbra	Multivariate	Integer	Classification	116	10		Life	2018-03-06	96556	0
GNFUV Unmanned Surface Vehicles Sensor Data	Multivariate, Time-Series	Real	Regression	1672	5		Computer	2018-05-06	22744	0
Dishonest Internet users Dataset	Multivariate		Classification, Clustering	322	5		Computer	2018-03-20	48847	0
Victorian Era Authorship Attribution	Text		Classification	93600	1000		Computer	2018-05-31	17645	0
Simulated Falls and Daily Living Activities Data Set	Time-Series	Integer	Classification	3060	138	Yes	Life	2018-06-06	82915	0
Multimodal Damage Identification for Humanitarian Computing	Multivariate, Text	Integer	Classification	5879			Social	2018-06-01	13114	0
EEG Steady-State Visual Evoked Potential Signals	Multivariate, Time-Series	Integer	Classification, Regression	9200	16		Life	2018-07-13	36499	0
Roman Urdu Data Set	Text		Classification	20000	2		Computer	2018-08-29	22498	0
Avila	Multivariate	Real	Classification	20867	10		Computer	2018-06-20	34741	0
PANDOR	Multivariate	Categorical	Recommendation				Life	2018-10-02	15463	0
Drug Review Dataset (Druglib.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	4143	8			2018-10-02	55877	0
Drug Review Dataset (Drugs.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	215063	6		Life	2018-10-04	83417	0
Physical Unclonable Functions	Multivariate	Integer	Classification	6000000	129		Computer	2018-10-08	16832	0
Superconductivty Data	Multivariate	Real	Regression	21263	81		Physical	2018-10-12	46625	0
WESAD (Wearable Stress and Affect Detection)	Multivariate, Time-Series	Real	Classification, Regression	63000000	12		Computer	2018-09-14	44227	0
GNFUV Unmanned Surface Vehicles Sensor Data Set 2	Multivariate, Sequential, Time-Series	Real	Regression	10190	6	Yes	Computer	2018-09-13	10970	0
Student Academics Performance	Multivariate		Classification	300	22		Computer	2018-09-16	69123	0
Online Shoppers Purchasing Intention Dataset	Multivariate	Integer, Real	Classification, Clustering	12330	18		Business	2018-08-31	102694	0
PMU-UD	Univariate		Classification	5180	9		Computer	2018-08-05	11547	0
Parkinson's Disease Classification	Multivariate	Integer, Real	Classification	756	754		Computer	2018-11-05	66025	0
Electrical Grid Stability Simulated Data 	Multivariate	Real	Classification, Regression	10000	14		Physical	2018-11-16	50220	0
Caesarian Section Classification Dataset	Univariate	Integer	Classification	80	5		Life	2018-11-02	42462	0
BAUM-1	Time-Series		Classification	1184			Computer	2018-11-09	17245	0
BAUM-2	Time-Series		Classification	1047			Computer	2018-11-09	11266	0
Audit Data	Multivariate	Real	Classification	777	18	Yes		2018-07-14	44865	0
BuddyMove Data Set	Multivariate, Text	Real	Classification, Clustering	249	7			2018-07-01	30455	0
Real estate valuation data set	Multivariate	Integer, Real	Regression	414	7		Business	2018-08-18	85622	0
Somerville Happiness Survey		Integer	Classification	143	7		Life	2018-05-24	21562	0
2.4 GHZ Indoor Channel Measurements	Multivariate	Real	Classification	7840	5		Computer	2018-11-30	65445	0
EMG data for gestures	Time-Series	Real	Classification	30000	6		Life	2019-01-07	52566	0
Parking Birmingham	Multivariate, Univariate, Sequential, Time-Series	Real	Classification, Regression, Clustering	35717	4	Yes	Computer	2019-01-02	53639	0
Behavior of the urban traffic of the city of Sao Paulo in Brazil	Multivariate, Time-Series	Integer, Real	Classification, Regression	135	18		Computer	2018-12-12	50942	0
Travel Reviews	Multivariate, Text	Real	Classification, Clustering	980	11			2018-12-19	77103	0
Tarvel Review Ratings	Multivariate, Text	Real	Classification, Clustering	5456	25			2018-12-19	55001	0
Rice Leaf Diseases	Multivariate	Integer	Classification	120			Computer	2019-04-14	45107	0
Gas sensor array temperature modulation	Multivariate, Time-Series	Real	Classification, Regression	4095000	20		Computer	2019-04-15	23633	0
Facebook Live Sellers in Thailand	Multivariate	Integer	Clustering	7051	12		Business	2019-04-22	39279	0
Parkinson Dataset with replicated acoustic features 	Multivariate		Classification	240	46		Life	2019-04-10	22009	0
Metro Interstate Traffic Volume	Multivariate, Sequential, Time-Series	Integer, Real	Regression	48204	9			2019-05-07	53243	0
Query Analytics Workloads Dataset	Multivariate	Real	Regression, Clustering	260000	8		Computer	2019-06-22	15728	0
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	20857	0
PPG-DaLiA	Multivariate, Time-Series	Real	Regression	8300000	11		Computer	2019-07-30	20543	0
Alcohol QCM Sensor Dataset	Multivariate	Real	Classification, Regression, Clustering	125	8		Computer	2019-07-22	51366	0
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	87656	0
Incident management process enriched event log	Multivariate, Sequential	Integer	Regression, Clustering	141712	36	Yes	Business	2019-07-14	25225	0
Opinion Corpus for Lebanese Arabic Reviews (OCLAR)	Text	Integer	Classification	3916	3916		Computer	2019-06-17	4750	0
MEx	Time-Series	Real	Classification, Clustering	6262	710		Computer	2019-09-20	13479	0
Beijing Multi-Site Air-Quality Data	Multivariate, Time-Series	Integer, Real	Regression	420768	18	Yes	Physical	2019-09-20	49758	0
Online Retail II	Multivariate, Sequential, Time-Series, Text	Integer, Real	Classification, Regression, Clustering	1067371	8	Yes	Business	2019-09-21	87599	0
Hepatitis C Virus (HCV) for Egyptian patients	Multivariate	Integer, Real	Classification	1385	29		Life	2019-09-30	51872	0
QSAR fish toxicity	Multivariate	Real	Regression	908	7		Physical	2019-09-23	28341	0
QSAR aquatic toxicity	Multivariate	Real	Regression	546	9		Physical	2019-09-23	16977	0
Human Activity Recognition from Continuous Ambient Sensor Data	Multivariate, Sequential, Time-Series	Integer, Real	Classification	13956534	37	Yes		2019-09-20	26131	0
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset 	Multivariate, Time-Series	Real	Classification	15630426	6		Computer	2019-10-06	60955	0
QSAR oral toxicity	Multivariate		Classification	8992	1024		Physical	2019-10-01	7803	0
QSAR androgen receptor	Multivariate		Classification	1687	1024		Physical	2019-10-01	4094	0
QSAR Bioconcentration classes dataset	Multivariate		Classification, Regression	779	14		Life	2019-10-11	7440	0
QSAR fish bioconcentration factor (BCF)	Multivariate	Integer, Real	Regression	1056	7		Life	2019-11-27	7521	0
A study of  Asian Religious and Biblical Texts	Multivariate, Text	Integer	Classification, Clustering	590	8265		Social	2019-12-24	21810	0
Real-time Election Results: Portugal 2019	Multivariate, Time-Series, Text	Integer, Real	Regression	21643	29		Social	2019-12-05	14845	0
Bias correction of numerical prediction model temperature forecast	Multivariate	Real	Regression	7750	25	Yes	Physical	2020-02-18	18245	0
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	59713	0
Kitsune Network Attack Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Clustering, Causal-Discovery	27170754	115		Computer	2019-10-16	119692	0
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	4323	0
Speaker Accent Recognition	Multivariate	Real	Classification	329	12		Social	2020-03-04	7249	0
Heart failure clinical records	Multivariate	Integer, Real	Classification, Regression, Clustering	299	13		Life	2020-02-05	27032	0
Deepfakes: Medical Image Tamper Detection	Multivariate	Real	Classification	20000	200000		Computer	2020-03-11	5789	0
selfBACK	Time-Series	Real	Classification, Clustering	26136	6		Computer	2020-06-15	8113	0
South German Credit	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2019-11-29	7102	0
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	7858	0
Swarm Behaviour	Multivariate	Real	Classification	24017	2400		Computer	2020-06-16	12640	0
Crop mapping using fused optical-radar data set	Multivariate, Time-Series	Real	Classification	325834	175			2020-06-16	7573	0
BitcoinHeistRansomwareAddressDataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	2916697	10		Computer	2020-06-17	15092	0
Facebook Large Page-Page Network	Multivariate		Classification	22470	4714		Social	2020-07-22	21181	0
Amphibians	Multivariate	Integer, Real	Classification	189	23		Life	2020-07-17	17161	0
Early stage diabetes risk prediction dataset.	Multivariate		Classification	520	17	Yes	Computer	2020-07-12	25700	0
Turkish Spam V01	Text		Classification	826	2		Social	2019-04-07	1159	0
Stock keeping units	Multivariate	Integer, Real	Clustering	2279	9	Yes	Business	2019-04-10	2618	0
Demand Forecasting for a store	Multivariate	Integer	Regression	28764	8			2019-05-14	6030	0
Detect Malware Types	Multivariate, Time-Series, Text		Classification	7107	280		Computer	2019-06-03	4074	0
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	20858	0
Youtube cookery channels viewers comments in Hinglish	Multivariate, Text		Classification	9800	3		Computer	2019-07-03	1523	0
Pedestrian in Traffic Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Regression, Causal-Discovery	4760	14	Yes	Computer	2019-07-04	4635	0
Cervical Cancer Behavior Risk	Multivariate, Univariate	Integer	Classification, Clustering	72	19		Life	2019-07-17	4302	0
Sattriya_Dance_Single_Hand_Gestures Dataset	Multivariate		Classification	1450			Computer	2019-07-22	498	0
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	87657	0
3W dataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	1984	8	Yes	Computer	2019-08-15	6820	0
Malware static and dynamic features VxHeaven and Virus Total	Multivariate	Integer, Real	Classification	2955	1087		Computer	2019-01-31	1171	0
Internet Firewall Data	Multivariate		Classification	65532	12		Computer	2019-02-04	3726	0
User Profiling and Abusive Language Detection Dataset			Classification	65919	3		Computer	2019-04-25	1452	0
Estimation of obesity levels based on eating habits and physical condition 	Multivariate	Integer	Classification, Regression, Clustering	2111	17		Life	2019-08-27	10868	0
Rice (Cammeo and Osmancik)	Multivariate	Real	Classification	3810	8		Computer	2019-10-06	3250	0
Vehicle routing and scheduling problems	Multivariate	Integer, Real	Clustering	18	9		Business	2019-10-07	2790	0
Algerian Forest Fires Dataset  	Multivariate	Real	Classification, Regression	244	12		Life	2019-10-22	6217	0
Breath Metabolomics	Multivariate, Time-Series	Real	Classification, Clustering	104	1656		Life	2019-11-08	2925	0
Horton General Hospital	Multivariate, Time-Series	Integer	Causal-Discovery	139	6		Life	2019-11-13	1904	0
UrbanGB, urban road accidents coordinates labelled by the urban center	Univariate	Real	Clustering	360177	2		Computer	2019-11-22	1531	0
Gas Turbine CO and NOx Emission Data Set	Multivariate	Real	Regression, Clustering	36733	11		Computer	2019-11-29	4015	0
Activity recognition using wearable physiological measurements	Multivariate	Real	Classification	4480	533		Life	2019-12-04	3608	0
clickstream data for online shopping	Multivariate, Sequential	Integer, Real	Classification, Regression, Clustering	165474	14		Business	2019-12-09	9942	0
CNNpred: CNN-based stock market prediction using a diverse set of variables	Sequential, Time-Series	Real	Classification, Regression	1985	84	Yes	Computer	2019-12-26	3317	0
Apartment for rent classified	Multivariate		Classification, Regression, Clustering	10000	22		Business	2019-12-26	13634	0
: Simulated Data set of Iraqi tourism places	Multivariate		Classification, Clustering	232	16		Computer	2020-01-10	2806	0
Nasarian CAD Dataset	Multivariate		Classification	150	52		Life	2020-02-28	1002	0
Monolithic Columns in Troad and Mysia Region	Multivariate	Real	Classification	11	19		Computer	2020-02-08	656	0
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	59714	0
Seoul Bike Sharing Demand	Multivariate	Integer, Real	Regression	8760	14		Computer	2020-03-01	7874	0
Person Classification Gait Data	Multivariate	Real	Classification	48	321		Computer	2020-03-02	1909	0
Shill Bidding Dataset	Multivariate		Classification, Clustering	6321	13		Computer	2020-03-10	2549	0
Iranian Churn Dataset	Multivariate	Integer	Classification, Regression	3150	13		Business	2020-04-09	5845	0
Unmanned Aerial Vehicle (UAV) Intrusion Detection	Multivariate	Real	Classification	17256	55		Computer	2020-04-12	3054	0
Bone marrow transplant: children	Multivariate	Integer, Real	Classification, Regression	187	39	Yes	Life	2020-04-21	5546	0
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	7859	0
COVID-19 Surveillance	Multivariate		Classification	14	7		Computer	2020-04-24	11731	0
Refractive errors	Multivariate	Integer	Classification	467	79	Yes	Life	2020-04-27	1858	0
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	4324	0
CLINC150	Text		Classification	23700				2020-05-08	2052	0
HCV data	Multivariate	Integer, Real	Classification, Clustering	615	14	Yes	Life	2020-06-10	17082	0
Taiwanese Bankruptcy Prediction	Multivariate	Integer	Classification	6819	96		Business	2020-06-28	15699	0
South German Credit (UPDATE)	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2020-06-20	11822	0
