Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Web Hits per Day
Airfoil Self-Noise	Multivariate	Real	Regression	1503	6		Physical	2014-03-04	2450	139067	57
Wholesale customers	Multivariate	Integer	Classification, Clustering	440	8		Business	2014-03-31	2423	363377	150
Twitter Data set for Arabic Sentiment Analysis	Text		Classification	2000	2		Social	2014-04-11	2412	93511	39
Combined Cycle Power Plant	Multivariate	Real	Regression	9568	4		Computer	2014-03-26	2428	182003	75
Urban Land Cover	Multivariate		Classification	168	148		Physical	2014-03-27	2427	48830	20
Diabetes 130-US hospitals for years 1999-2008	Multivariate	Integer	Classification, Clustering	100000	55	Yes	Life	2014-05-03	2390	329230	138
Bach Choral Harmony	Sequential		Classification	5665	17			2014-05-20	2373	51347	22
StoneFlakes	Multivariate	Real	Classification, Clustering, Causal-Discovery	79	8	Yes		2014-05-20	2373	64749	27
Tennis Major Tournament Match Statistics	Multivariate	Integer, Real	Classification, Regression, Clustering	127	42	Yes		2014-06-01	2361	104149	44
Parkinson Speech Dataset with  Multiple Types of Sound Recordings	Multivariate	Integer, Real	Classification, Regression	1040	26		Life	2014-06-12	2350	104223	44
Gesture Phase Segmentation	Multivariate, Sequential, Time-Series	Real	Classification, Clustering	9900	50			2014-06-18	2344	54067	23
Perfume Data	Univariate, Domain-Theory	Integer	Classification, Clustering	560	2		Computer	2014-07-22	2310	146743	64
BlogFeedback	Multivariate	Integer, Real	Regression	60021	281		Social	2014-05-29	2364	100529	43
REALDISP Activity Recognition Dataset	Multivariate, Time-Series	Real	Classification	1419	120		Computer	2014-07-25	2307	46476	20
Newspaper and magazine images segmentation dataset			Classification	101			Computer	2014-07-15	2317	28723	12
AAAI 2014 Accepted Papers	Multivariate		Clustering	399	6		Computer	2014-07-30	2302	55712	24
Gas sensor array under flow modulation	Multivariate, Time-Series	Real	Classification, Regression	58	120432		Computer	2014-09-10	2260	39945	18
Gas sensor array exposed to turbulent gas mixtures	Multivariate, Time-Series	Real	Classification, Regression	180	150000		Computer	2014-10-10	2230	42822	19
UJIIndoorLoc	Multivariate	Integer, Real	Classification, Regression	21048	529		Computer	2014-09-18	2252	101911	45
Sentence Classification	Text	Integer	Classification					2014-11-05	2204	77900	35
Dow Jones Index	Time-Series	Integer, Real	Classification, Clustering	750	16		Business	2014-10-23	2217	223361	101
sEMG for Basic Hand movements	Time-Series	Real	Classification	3000	2500		Life	2014-11-18	2191	70781	32
AAAI 2013 Accepted Papers	Multivariate		Clustering	150	5		Computer	2014-07-30	2302	58209	25
Geographical Original of Music	Multivariate	Real	Classification, Regression	1059	68			2014-10-18	2222	89972	40
Condition Based Maintenance of Naval Propulsion Plants	Multivariate	Real	Regression	11934	16		Computer	2014-09-11	2259	62542	28
Grammatical Facial Expressions	Multivariate, Sequential	Real	Classification, Clustering	27965	100		Computer	2014-10-06	2234	74103	33
NoisyOffice	Multivariate	Real	Classification, Regression	216	216		Computer	2015-01-03	2145	69372	32
MHEALTH Dataset	Multivariate, Time-Series	Real	Classification	120	23		Computer	2014-12-07	2172	105812	49
Student Performance	Multivariate	Integer	Classification, Regression	649	33		Social	2014-11-27	2182	811750	372
ElectricityLoadDiagrams20112014	Time-Series	Real	Regression, Clustering	370	140256		Computer	2015-03-13	2076	80649	39
Gas sensor array under dynamic gas mixtures	Multivariate, Time-Series	Real	Classification, Regression	4178504	19		Computer	2015-03-20	2069	55217	27
microblogPCU	Multivariate, Univariate, Sequential, Text	Integer, Real	Classification, Causal-Discovery	221579	20	Yes	Computer	2015-03-17	2072	51664	25
Firm-Teacher_Clave-Direction_Classification	Multivariate		Classification	10800	20			2015-04-24	2034	29991	15
Dataset for Sensorless Drive Diagnosis	Multivariate	Real	Classification	58509	49		Computer	2015-02-24	2093	75829	36
TV News Channel Commercial Detection Dataset	Multivariate	Real	Classification, Clustering	129685	12		Computer	2015-03-27	2062	75340	37
Phishing Websites		Integer	Classification	2456	30		Computer Security	2015-03-26	2063	155318	75
Greenhouse Gas Observing Network	Multivariate, Time-Series	Real	Regression	2921	5232		Physical	2015-04-16	2042	59836	29
Diabetic Retinopathy Debrecen Data Set	Multivariate	Integer, Real	Classification	1151	20		Life	2014-11-03	2206	112545	51
HIV-1 protease cleavage	Multivariate	Categorical	Classification	6590	1		Life	2015-04-25	2033	63129	31
Sentiment Labelled Sentences	Text		Classification	3000				2015-05-30	1998	183858	92
Online News Popularity	Multivariate	Integer, Real	Classification, Regression	39797	61		Business	2015-05-31	1997	308470	154
Forest type mapping	Multivariate		Classification	326	27		Life	2015-05-25	2003	61339	31
wiki4HE	Multivariate		Regression, Clustering, Causal-Discovery	913	53	Yes	Social	2015-05-04	2024	49924	25
Online Video Characteristics and Transcoding Time Dataset	Multivariate	Integer, Real	Regression	168286	11		Computer	2015-05-19	2009	44705	22
Chronic_Kidney_Disease	Multivariate	Real	Classification	400	25	Yes		2015-07-03	1964	180997	92
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014	Sequential, Time-Series	Real	Classification	314080		Yes	Business	2015-06-06	1991	53550	27
Folio	Multivariate		Classification, Clustering	637	20	Yes		2015-07-05	1962	60610	31
Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015	Multivariate, Sequential, Time-Series, Domain-Theory	Real	Clustering, Causal-Discovery	1710671	9	Yes	Computer	2015-07-11	1956	84392	43
Cuff-Less Blood Pressure Estimation	Multivariate	Real	Classification, Regression	12000	3	Yes	Life	2015-07-27	1940	119493	62
Smartphone-Based Recognition of Human Activities and Postural Transitions	Multivariate, Time-Series	Real	Classification	10929	561		Life	2015-07-29	1938	180945	93
Mice Protein Expression	Multivariate	Real	Classification, Clustering	1080	82	Yes	Life	2015-08-04	1932	82671	43
UJIIndoorLoc-Mag	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Regression, Clustering	40000	13		Computer	2015-09-10	1895	44389	23
Heterogeneity Activity Recognition	Multivariate, Time-Series	Real	Classification, Clustering	43930257	16	Yes	Computer	2015-10-26	1849	105898	57
Educational Process Mining (EPM): A Learning Analytics Data Set	Multivariate, Sequential, Time-Series	Integer	Classification, Regression, Clustering	230318	13		Computer	2015-09-24	1881	103688	55
HEPMASS	Multivariate	Real	Classification	10500000	28		Physical	2016-01-28	1755	66895	38
Indoor User Movement Prediction from RSS data	Multivariate, Sequential, Time-Series	Real	Classification	13197	4		Computer	2016-02-04	1748	65574	38
Open University Learning Analytics dataset	Multivariate, Sequential, Time-Series	Integer	Classification, Regression, Clustering			Yes	Computer	2015-12-21	1793	65594	37
default of credit card clients	Multivariate	Integer, Real	Classification	30000	24		Business	2016-01-26	1757	519437	296
Mesothelioma’s disease data set 	Multivariate	Real	Classification	324	34		Computer	2016-01-11	1772	16289	9
Online Retail	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Clustering	541909	8		Business	2015-11-06	1838	528065	287
SIFT10M	Multivariate	Integer	Causal-Discovery	11164866	128		Computer	2016-02-23	1729	33150	19
GPS Trajectories	Multivariate	Real	Classification, Regression	163	15	Yes	Computer	2016-02-29	1723	112295	65
Detect Malacious Executable(AntiVirus)	Multivariate	Real	Classification	373	513	Yes	Computer	2016-03-03	1720	258573	150
Occupancy Detection 	Multivariate, Time-Series	Real	Classification	20560	7		Computer	2016-02-29	1723	148584	86
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease	Multivariate	Real	Classification, Regression, Clustering	40	7		Computer	2016-03-05	1718	11189	7
News Aggregator	Multivariate		Classification, Clustering	422937	5			2016-02-28	1724	92553	54
Air Quality	Multivariate, Time-Series	Real	Regression	9358	15	Yes	Computer	2016-03-23	1700	474306	279
Twin gas sensor arrays	Multivariate, Time-Series, Domain-Theory	Real	Classification, Regression	640	480000		Computer	2016-05-19	1643	49183	30
Gas sensors for home activity monitoring	Multivariate, Time-Series	Real	Classification	919438	11		Computer	2016-07-15	1586	85065	54
Facebook Comment Volume Dataset	Multivariate	Integer, Real	Regression	40949	54			2016-03-11	1712	99039	58
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL)	Time-Series	Real	Classification	5744	561		Computer	2016-03-09	1714	50891	30
Polish companies bankruptcy data	Multivariate	Real	Classification	10503	64	Yes	Business	2016-04-11	1681	112404	67
Activity Recognition system based on Multisensor data fusion (AReM)	Multivariate, Sequential, Time-Series	Real	Classification	42240	6		Computer	2016-05-18	1644	65979	40
Dota2 Games Results	Multivariate		Classification	102944	116		Game	2016-08-14	1556	105015	67
Facebook metrics	Multivariate	Integer	Regression	500	19		Business	2016-08-05	1565	173388	111
UbiqLog (smartphone lifelogging)	Multivariate		Causal-Discovery	9782222			Computer	2016-06-16	1615	31564	20
NIPS Conference Papers 1987-2015	Text	Integer	Clustering	11463	5812		Computer	2016-11-23	1455	51905	36
HTRU2	Multivariate	Real	Classification, Clustering	17898	9		Physical	2017-02-14	1372	66861	49
Drug consumption (quantified)	Multivariate	Real	Classification	1885	32		Social	2016-10-17	1492	137126	92
Appliances energy prediction	Multivariate, Time-Series	Real	Regression	19735	29		Computer	2017-02-15	1371	134056	98
Miskolc IIS Hybrid IPS	Text	Integer	Classification, Clustering, Causal-Discovery	1540	67	Yes	Computer	2016-07-04	1597	14099	9
KDC-4007 dataset Collection	Multivariate, Text	Integer	Classification, Regression	4007			Computer	2017-04-27	1300	32255	25
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone	Multivariate, Sequential, Time-Series	Integer, Real	Classification, Regression, Clustering	153540	25		Computer	2017-01-10	1407	33585	24
DrivFace	Multivariate	Real	Classification, Regression, Clustering	606	6400		Computer	2016-05-26	1636	38243	23
Website Phishing	Multivariate	Integer	Classification	1353	10		Computer	2016-11-02	1476	89147	60
YouTube Spam Collection	Text		Classification	1956	5		Computer	2017-03-26	1332	86839	65
Beijing PM2.5 Data	Multivariate, Time-Series	Integer, Real	Regression	43824	13	Yes	Physical	2017-01-19	1398	187416	134
Cargo 2000 Freight Tracking and Tracing	Multivariate, Sequential	Integer	Classification, Regression	3942	98	Yes	Business	2016-11-03	1475	46015	31
Cervical cancer (Risk Factors)	Multivariate	Integer, Real	Classification	858	36	Yes	Life	2017-03-03	1355	130323	96
Quality Assessment of Digital Colposcopies	Multivariate	Real	Classification	287	69		Life	2017-03-08	1350	20712	15
KASANDR	Multivariate	Integer	Causal-Discovery	17764280	2158859		Life	2017-05-16	1281	35473	28
FMA: A Dataset For Music Analysis	Multivariate, Time-Series	Real	Classification, Clustering	106574	518		Computer	2017-05-24	1273	88970	70
Air quality	Multivariate, Time-Series	Real	Regression	9358	15	Yes	Computer	2016-03-23	1700	474307	279
Epileptic Seizure Recognition	Multivariate, Time-Series	Integer, Real	Classification, Clustering	11500	179		Life	2017-05-24	1273	119926	94
Devanagari Handwritten Character Dataset		Integer	Classification	92000			Computer	2016-09-01	1538	30351	20
Stock portfolio performance	Multivariate	Real	Regression	315	12		Business	2016-04-22	1670	70187	42
MoCap Hand Postures	Multivariate	Integer, Real	Classification, Clustering	78095	38	Yes	Computer	2016-11-22	1456	22887	16
Early biomarkers of Parkinson's disease based on natural connected speech	Multivariate	Integer, Real	Classification, Regression	130	65	Yes	Life	2017-02-15	1371	3558	3
Data for Software Engineering Teamwork Assessment in Education Setting	Sequential, Time-Series	Integer, Real	Classification	74	102	Yes	Computer	2017-06-29	1237	36406	29
PM2.5 Data of Five Chinese Cities	Multivariate, Time-Series	Integer, Real	Regression	52854	86	Yes	Physical	2017-07-18	1218	87245	72
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet	Multivariate	Integer	Classification, Regression, Clustering	77	7		Computer	2017-07-20	1216	47997	39
Sales_Transactions_Dataset_Weekly	Multivariate, Time-Series	Integer, Real	Clustering	811	53			2017-07-16	1220	75114	62
Las Vegas Strip		Integer	Classification, Regression	504	20		Business	2017-07-23	1213	98215	81
Eco-hotel	Text			401	1		Business	2017-07-23	1213	39346	32
MEU-Mobile KSD	Multivariate	Integer, Real	Classification	2856	71		Computer	2016-05-14	1648	13565	8
Crowdsourced Mapping	Multivariate		Classification	10546	29		Physical	2016-05-25	1637	24167	15
gene expression cancer RNA-Seq	Multivariate	Real	Classification, Clustering	801	20531		Life	2016-06-09	1622	65037	40
Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer	Multivariate, Sequential, Time-Series	Real	Classification	1540	65	Yes	Computer	2016-12-18	1430	15852	11
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network	Text	Integer	Classification	1075	22		Computer	2017-08-28	1177	31468	27
Motion Capture Hand Postures	Multivariate	Real	Classification, Clustering	78095	38	Yes	Computer	2017-01-27	1390	31567	23
Anuran Calls (MFCCs)	Multivariate	Real	Classification, Clustering	7195	22		Life	2017-02-24	1362	50763	37
TTC-3600: Benchmark dataset for Turkish text categorization	Text	Integer	Classification, Clustering	3600	4814		Computer	2017-02-08	1378	15609	11
Gastrointestinal Lesions in Regular Colonoscopy	Multivariate	Real	Classification	76	698		Computer	2016-10-15	1494	18993	13
Daily Demand Forecasting Orders	Time-Series	Integer	Regression	60	13		Business	2017-11-21	1092	84652	78
Paper Reviews	Text	Integer	Classification, Regression	405	10	Yes	Computer	2017-10-23	1121	55016	49
extention of Z-Alizadeh sani dataset		Integer, Real	Classification	303	59		Life	2017-11-17	1096	12500	11
Z-Alizadeh Sani		Integer, Real	Classification	303	56		Life	2017-11-17	1096	23734	22
Dynamic Features of VirusShare Executables	Multivariate, Time-Series	Integer	Classification, Regression	107888	482		Computer	2017-11-29	1084	31908	29
IDA2016Challenge	Multivariate	Integer	Classification	76000	171	Yes	Computer	2017-01-17	1400	18173	13
DSRC Vehicle Communications	Sequential, Text	Real	Clustering	10000	5		Computer	2017-12-13	1070	31997	30
Mturk User-Perceived Clusters over Images	Multivariate, Text	Integer	Clustering	180	500		Computer	2016-11-02	1476	9485	6
Character Font Images	Multivariate	Integer, Real	Classification	745000	411		Computer	2016-08-14	1556	36123	23
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels	Text	Integer	Classification	12234	8519		Computer	2016-10-27	1482	19420	13
Autistic Spectrum Disorder Screening Data for Children  	Multivariate	Integer	Classification	292	21	Yes	Life	2017-12-24	1059	47270	45
Autistic Spectrum Disorder Screening Data for Adolescent   	Multivariate	Integer	Classification	104	21	Yes	Life	2017-12-24	1059	32527	31
APS Failure at Scania Trucks	Multivariate	Integer, Real	Classification	60000	171	Yes	Computer	2017-12-08	1075	60102	56
Wireless Indoor Localization	Multivariate	Real	Classification	2000	7		Computer	2017-12-04	1079	48587	45
HCC Survival	Multivariate	Integer, Real	Classification	165	49	Yes	Life	2017-11-29	1084	36102	33
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015	Multivariate	Integer	Classification, Regression	217	12	Yes	Computer	2017-10-11	1133	32891	29
University of Tehran Question Dataset 2016 (UTQD.2016)	Text		Classification	1175	3	Yes		2017-09-27	1147	13417	12
Autism Screening Adult		Integer	Classification	704	21	Yes	Social	2017-12-24	1059	64515	61
Activity recognition with healthy older people using a batteryless wearable sensor	Sequential	Real	Classification	75128	9		Life	2016-12-12	1436	37377	26
Immunotherapy Dataset	Univariate	Integer, Real	Classification	90	8		Life	2018-01-04	1048	53314	51
Cryotherapy Dataset 	Univariate	Integer, Real	Classification	90	7		Life	2018-01-04	1048	45899	44
OCT data & Color Fundus Images of Left & Right Eyes	Multivariate	Real	Classification	50	2		Computer	2016-11-01	1477	17078	12
Discrete Tone Image Dataset	Multivariate		Classification	71	11		Computer	2018-01-20	1032	20874	20
News Popularity in Multiple Social Media Platforms	Multivariate, Time-Series, Text	Integer, Real	Regression	93239	11		Computer	2018-02-20	1001	61120	61
Ultrasonic flowmeter diagnostics	Multivariate	Real	Classification	540	173		Computer	2018-01-13	1039	18266	18
ICMLA 2014 Accepted Papers Data Set	Multivariate		Classification, Clustering	105	5			2018-02-19	1002	16286	16
BLE RSSI Dataset for Indoor localization and Navigation	Multivariate, Sequential, Time-Series	Integer	Classification, Clustering	6611	15	Yes	Computer	2018-01-25	1027	32604	32
Container Crane Controller Data Set	Univariate, Domain-Theory	Real	Classification, Regression	15	3		Computer	2018-01-01	1051	33053	31
Residential Building Data Set	Multivariate	Real	Regression	372	105		Computer	2018-02-19	1002	50024	50
Health News in Twitter	Text	Real	Clustering	58000	25000		Computer	2018-02-19	1002	52525	52
chipseq	Sequential	Integer	Classification	4960			Life	2018-02-21	1000	22217	22
SGEMM GPU kernel performance	Multivariate	Integer	Regression	241600	18		Computer	2018-02-27	994	27563	28
Repeat Consumption Matrices	Multivariate	Real	Clustering	130000	21000		Computer	2018-03-22	971	22296	23
detection_of_IoT_botnet_attacks_N_BaIoT	Multivariate, Sequential	Real	Classification, Clustering	7062606	115		Computer	2018-03-19	974	71745	74
Absenteeism at work	Multivariate, Time-Series	Integer, Real	Classification, Clustering	740	21		Business	2018-04-05	957	189132	198
SCADI	Multivariate		Classification, Clustering	70	206		Life	2018-04-14	948	31023	33
Condition monitoring of hydraulic systems	Multivariate, Time-Series	Real	Classification, Regression	2205	43680		Computer	2018-04-26	936	56608	60
Carbon Nanotubes	Univariate	Real	Regression	10721	8		Computer	2018-04-05	957	41034	43
Optical Interconnection Network 	Multivariate	Integer, Real	Classification, Regression	640	10		Computer	2018-03-29	964	27658	29
Sports articles for objectivity analysis	Multivariate, Text	Integer	Classification	1000	59		Social	2018-04-09	953	36981	39
Breast Cancer Coimbra	Multivariate	Integer	Classification	116	10		Life	2018-03-06	987	96556	98
GNFUV Unmanned Surface Vehicles Sensor Data	Multivariate, Time-Series	Real	Regression	1672	5		Computer	2018-05-06	926	22744	25
Dishonest Internet users Dataset	Multivariate		Classification, Clustering	322	5		Computer	2018-03-20	973	48847	50
Victorian Era Authorship Attribution	Text		Classification	93600	1000		Computer	2018-05-31	901	17645	20
Simulated Falls and Daily Living Activities Data Set	Time-Series	Integer	Classification	3060	138	Yes	Life	2018-06-06	895	82915	93
Multimodal Damage Identification for Humanitarian Computing	Multivariate, Text	Integer	Classification	5879			Social	2018-06-01	900	13114	15
EEG Steady-State Visual Evoked Potential Signals	Multivariate, Time-Series	Integer	Classification, Regression	9200	16		Life	2018-07-13	858	36499	43
Roman Urdu Data Set	Text		Classification	20000	2		Computer	2018-08-29	811	22498	28
Avila	Multivariate	Real	Classification	20867	10		Computer	2018-06-20	881	34741	39
PANDOR	Multivariate	Categorical	Recommendation				Life	2018-10-02	777	15463	20
Drug Review Dataset (Druglib.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	4143	8			2018-10-02	777	55877	72
Drug Review Dataset (Drugs.com)	Multivariate, Text	Integer	Classification, Regression, Clustering	215063	6		Life	2018-10-04	775	83417	108
Physical Unclonable Functions	Multivariate	Integer	Classification	6000000	129		Computer	2018-10-08	771	16832	22
Superconductivty Data	Multivariate	Real	Regression	21263	81		Physical	2018-10-12	767	46625	61
WESAD (Wearable Stress and Affect Detection)	Multivariate, Time-Series	Real	Classification, Regression	63000000	12		Computer	2018-09-14	795	44227	56
GNFUV Unmanned Surface Vehicles Sensor Data Set 2	Multivariate, Sequential, Time-Series	Real	Regression	10190	6	Yes	Computer	2018-09-13	796	10970	14
Student Academics Performance	Multivariate		Classification	300	22		Computer	2018-09-16	793	69123	87
Online Shoppers Purchasing Intention Dataset	Multivariate	Integer, Real	Classification, Clustering	12330	18		Business	2018-08-31	809	102694	127
PMU-UD	Univariate		Classification	5180	9		Computer	2018-08-05	835	11547	14
Parkinson's Disease Classification	Multivariate	Integer, Real	Classification	756	754		Computer	2018-11-05	743	66025	89
Electrical Grid Stability Simulated Data 	Multivariate	Real	Classification, Regression	10000	14		Physical	2018-11-16	732	50220	69
Caesarian Section Classification Dataset	Univariate	Integer	Classification	80	5		Life	2018-11-02	746	42462	57
BAUM-1	Time-Series		Classification	1184			Computer	2018-11-09	739	17245	23
BAUM-2	Time-Series		Classification	1047			Computer	2018-11-09	739	11266	15
Audit Data	Multivariate	Real	Classification	777	18	Yes		2018-07-14	857	44865	52
BuddyMove Data Set	Multivariate, Text	Real	Classification, Clustering	249	7			2018-07-01	870	30455	35
Real estate valuation data set	Multivariate	Integer, Real	Regression	414	7		Business	2018-08-18	822	85622	104
Somerville Happiness Survey		Integer	Classification	143	7		Life	2018-05-24	908	21562	24
2.4 GHZ Indoor Channel Measurements	Multivariate	Real	Classification	7840	5		Computer	2018-11-30	718	65445	91
EMG data for gestures	Time-Series	Real	Classification	30000	6		Life	2019-01-07	680	52566	77
Parking Birmingham	Multivariate, Univariate, Sequential, Time-Series	Real	Classification, Regression, Clustering	35717	4	Yes	Computer	2019-01-02	685	53639	78
Behavior of the urban traffic of the city of Sao Paulo in Brazil	Multivariate, Time-Series	Integer, Real	Classification, Regression	135	18		Computer	2018-12-12	706	50942	72
Travel Reviews	Multivariate, Text	Real	Classification, Clustering	980	11			2018-12-19	699	77103	110
Tarvel Review Ratings	Multivariate, Text	Real	Classification, Clustering	5456	25			2018-12-19	699	55001	79
Rice Leaf Diseases	Multivariate	Integer	Classification	120			Computer	2019-04-14	583	45107	77
Gas sensor array temperature modulation	Multivariate, Time-Series	Real	Classification, Regression	4095000	20		Computer	2019-04-15	582	23633	41
Facebook Live Sellers in Thailand	Multivariate	Integer	Clustering	7051	12		Business	2019-04-22	575	39279	68
Parkinson Dataset with replicated acoustic features 	Multivariate		Classification	240	46		Life	2019-04-10	587	22009	37
Metro Interstate Traffic Volume	Multivariate, Sequential, Time-Series	Integer, Real	Regression	48204	9			2019-05-07	560	53243	95
Query Analytics Workloads Dataset	Multivariate	Real	Regression, Clustering	260000	8		Computer	2019-06-22	514	15728	31
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	506	20857	41
PPG-DaLiA	Multivariate, Time-Series	Real	Regression	8300000	11		Computer	2019-07-30	476	20543	43
Alcohol QCM Sensor Dataset	Multivariate	Real	Classification, Regression, Clustering	125	8		Computer	2019-07-22	484	51366	106
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	482	87656	182
Incident management process enriched event log	Multivariate, Sequential	Integer	Regression, Clustering	141712	36	Yes	Business	2019-07-14	492	25225	51
Opinion Corpus for Lebanese Arabic Reviews (OCLAR)	Text	Integer	Classification	3916	3916		Computer	2019-06-17	519	4750	9
MEx	Time-Series	Real	Classification, Clustering	6262	710		Computer	2019-09-20	424	13479	32
Beijing Multi-Site Air-Quality Data	Multivariate, Time-Series	Integer, Real	Regression	420768	18	Yes	Physical	2019-09-20	424	49758	117
Online Retail II	Multivariate, Sequential, Time-Series, Text	Integer, Real	Classification, Regression, Clustering	1067371	8	Yes	Business	2019-09-21	423	87599	207
Hepatitis C Virus (HCV) for Egyptian patients	Multivariate	Integer, Real	Classification	1385	29		Life	2019-09-30	414	51872	125
QSAR fish toxicity	Multivariate	Real	Regression	908	7		Physical	2019-09-23	421	28341	67
QSAR aquatic toxicity	Multivariate	Real	Regression	546	9		Physical	2019-09-23	421	16977	40
Human Activity Recognition from Continuous Ambient Sensor Data	Multivariate, Sequential, Time-Series	Integer, Real	Classification	13956534	37	Yes		2019-09-20	424	26131	62
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset 	Multivariate, Time-Series	Real	Classification	15630426	6		Computer	2019-10-06	408	60955	149
QSAR oral toxicity	Multivariate		Classification	8992	1024		Physical	2019-10-01	413	7803	19
QSAR androgen receptor	Multivariate		Classification	1687	1024		Physical	2019-10-01	413	4094	10
QSAR Bioconcentration classes dataset	Multivariate		Classification, Regression	779	14		Life	2019-10-11	403	7440	18
QSAR fish bioconcentration factor (BCF)	Multivariate	Integer, Real	Regression	1056	7		Life	2019-11-27	356	7521	21
A study of  Asian Religious and Biblical Texts	Multivariate, Text	Integer	Classification, Clustering	590	8265		Social	2019-12-24	329	21810	66
Real-time Election Results: Portugal 2019	Multivariate, Time-Series, Text	Integer, Real	Regression	21643	29		Social	2019-12-05	348	14845	43
Bias correction of numerical prediction model temperature forecast	Multivariate	Real	Regression	7750	25	Yes	Physical	2020-02-18	273	18245	67
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	267	59713	224
Kitsune Network Attack Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Clustering, Causal-Discovery	27170754	115		Computer	2019-10-16	398	119692	301
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	181	4323	24
Speaker Accent Recognition	Multivariate	Real	Classification	329	12		Social	2020-03-04	258	7249	28
Heart failure clinical records	Multivariate	Integer, Real	Classification, Regression, Clustering	299	13		Life	2020-02-05	286	27032	95
Deepfakes: Medical Image Tamper Detection	Multivariate	Real	Classification	20000	200000		Computer	2020-03-11	251	5789	23
selfBACK	Time-Series	Real	Classification, Clustering	26136	6		Computer	2020-06-15	155	8113	52
South German Credit	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2019-11-29	354	7102	20
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	209	7858	38
Swarm Behaviour	Multivariate	Real	Classification	24017	2400		Computer	2020-06-16	154	12640	82
Crop mapping using fused optical-radar data set	Multivariate, Time-Series	Real	Classification	325834	175			2020-06-16	154	7573	49
BitcoinHeistRansomwareAddressDataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	2916697	10		Computer	2020-06-17	153	15092	99
Facebook Large Page-Page Network	Multivariate		Classification	22470	4714		Social	2020-07-22	118	21181	180
Amphibians	Multivariate	Integer, Real	Classification	189	23		Life	2020-07-17	123	17161	140
Early stage diabetes risk prediction dataset.	Multivariate		Classification	520	17	Yes	Computer	2020-07-12	128	25700	201
Turkish Spam V01	Text		Classification	826	2		Social	2019-04-07	590	1159	2
Stock keeping units	Multivariate	Integer, Real	Clustering	2279	9	Yes	Business	2019-04-10	587	2618	4
Demand Forecasting for a store	Multivariate	Integer	Regression	28764	8			2019-05-14	553	6030	11
Detect Malware Types	Multivariate, Time-Series, Text		Classification	7107	280		Computer	2019-06-03	533	4074	8
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	506	20858	41
Youtube cookery channels viewers comments in Hinglish	Multivariate, Text		Classification	9800	3		Computer	2019-07-03	503	1523	3
Pedestrian in Traffic Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Regression, Causal-Discovery	4760	14	Yes	Computer	2019-07-04	502	4635	9
Cervical Cancer Behavior Risk	Multivariate, Univariate	Integer	Classification, Clustering	72	19		Life	2019-07-17	489	4302	9
Sattriya_Dance_Single_Hand_Gestures Dataset	Multivariate		Classification	1450			Computer	2019-07-22	484	498	1
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	482	87657	182
3W dataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	1984	8	Yes	Computer	2019-08-15	460	6820	15
Malware static and dynamic features VxHeaven and Virus Total	Multivariate	Integer, Real	Classification	2955	1087		Computer	2019-01-31	656	1171	2
Internet Firewall Data	Multivariate		Classification	65532	12		Computer	2019-02-04	652	3726	6
User Profiling and Abusive Language Detection Dataset			Classification	65919	3		Computer	2019-04-25	572	1452	3
Estimation of obesity levels based on eating habits and physical condition 	Multivariate	Integer	Classification, Regression, Clustering	2111	17		Life	2019-08-27	448	10868	24
Rice (Cammeo and Osmancik)	Multivariate	Real	Classification	3810	8		Computer	2019-10-06	408	3250	8
Vehicle routing and scheduling problems	Multivariate	Integer, Real	Clustering	18	9		Business	2019-10-07	407	2790	7
